News_Data,Labelling
,
"Stok BBM di SPBU swasta nyaris nihil, apa dampak dugaan monopoli terhadap konsumen?",Negative
,
'Paket stimulus ekonomi 8+4+5' demi kejar target pertumbuhan ekonomi – Apa saja yang perlu diketahui?,Positive
,
Lima anggota geng ditangkap terkait pembunuhan staf KBRI di Peru – Bagaimana perkembangan investigasi sejauh ini?,Negative
,
Presiden Prabowo akan bagikan 330 ribu televisi pintar ke sekolah – Apakah program ini tepat sasaran?,Neutral
,
"Video,
Apa hubungan bendera One Piece di demonstrasi Nepal dan Prancis dengan Indonesia?
, Durasi 3,43",Neutral
,
Di balik 'Norma: Antara Mertua dan Menantu' – Mengapa film tema selingkuh digemari di Asia Tenggara?,Neutral
,
Dua pria Australia ditangkap atas tuduhan memasok senjata api ke TPNPB-OPM,Negative
,
Mahasiswa Indonesia meninggal setelah menemani kunjungan pejabat ke Austria,Negative
,
Anggota TNI jadi tersangka kasus dugaan pembunuhan kepala cabang BRI – Ada apa di balik kasus ini?,Negative
,
"Suntikan dana pemerintah Rp200 triliun ke perbankan, apa yang patut diketahui?",Neutral
,
"Bahlil izinkan tambang nikel beroperasi kembali di Raja Ampat, Greenpeace sebut 'pemerintah dan korporasi serakah'",Negative
,
"Banjir Bali terparah sepanjang satu dekade, korban meninggal bertambah menjadi 16 orang",Negative
,
"Bendera One Piece berkibar di tengah aksi demonstrasi di Indonesia, Nepal, dan Prancis - 'Bentuk rasa frustrasi anak muda pada pemerintah'",Negative
,
Kisah perempuan adat Yenbuba merestorasi terumbu karang Raja Ampat yang rusak akibat insiden Caledonian Sky tujuh tahun lalu,Positive
,
Pemuda asli Papua tewas diduga akibat dianiaya polisi – 'Nyawa kami seakan mudah sekali dibunuh',Negative
,
"Tunjangan rumah DPRD Jakarta, Jateng, Jabar, dan Sumut mencapai Rp40 juta-Rp70 juta",Negative
,
Anak gajah bernama Tari mati di Taman Nasional Tesso Nilo – Apa penyebab kematiannya?,Negative
,
"Purbaya dilantik jadi menteri keuangan, apa saja PR yang harus dituntaskan?",Positive
,
Aktivis lingkungan NTT ditemukan meninggal – Apa yang diketahui sejauh ini?,Negative
,
'Mamah tidak rela hidup terus-terusan susah' – Kisah ibu dan dua anak di Kabupaten Bandung mengakhiri hidup diduga karena tekanan ekonomi,Negative
,
Sri Mulyani minta maaf setelah serahkan jabatan kepada menkeu yang baru,Neutral
,
21 tahun kematian Munir – Mengapa kasusnya sulit diungkap?,Negative
,
Mengapa foto Menhut Raja Juli bermain domino dengan bekas tersangka pembalak liar problematik?,Negative
,
Dari tumpukan sampah menjadi benda berguna: Kisah warga Sumenep atasi masalah sampah yang semakin 'serius',Positive
,
Polisi dituduh 'melampaui batas' dalam atasi demo Agustus 2025 – 'Kewenangan membesar tanpa pengawasan berarti',Negative
,
Kpop Demon Hunters: Masa depan budaya pop Korea di tangan grup virtual,Neutral
,
Siapa aktivis hingga TikToker yang jadi tersangka penghasutan demo Agustus?,Negative
,
"Apa itu tuntutan 17+8? – Mahasiswa akan terus demo sampai tuntutan dipenuhi, DPR berikan tanggapan",Negative
,
Viral pria diduga intel TNI ditangkap Brimob – Apa peran intelijen dalam gelombang demonstrasi?,Negative
,
Pertemuan organisasi mahasiswa dengan DPR dan dua menteri – Apa efeknya pada gelombang demonstrasi?,Neutral
,
Sopir kendaraan taktis Brimob yang melindas Affan Kurniawan dihukum demosi tujuh tahun – 'Kami mohon dibukakan maaf',Negative
,
Eks Mendikbudristek Nadiem Makarim tersangka korupsi pengadaan laptop – Bagaimana duduk perkaranya?,Negative
,
Dukungan warga Malaysia dan negara lain untuk aksi di Indonesia – 'Pemerintah kita sama buruk dan korup',Neutral
,
Aliansi Perempuan desak penghentian kekerasan negara – Apa bedanya dengan gerakan Suara Ibu Peduli pada 1998?,Neutral
,
"Trauma kerusuhan 1998 usai rentetan aksi penjarahan – 'Rumah dijaga TNI bisa dijarah, bagaimana rumah rakyat biasa?'",Negative
,
Nasib pengemudi ojol setelah gelombang demo – 'Lebih takut lagi kalau dapur tidak ngebul',Negative
,
Sepuluh orang meninggal dalam gelombang demonstrasi – 'Negara harus menjawab tuntutan masyarakat',Negative
,
Aktivis Lokataru ditangkap buntut gelombang demonstrasi Agustus – 'Pola yang berulang usai unjuk rasa besar',Neutral
,
TNI ditugaskan 'memelihara keamanan dan ketertiban' – Apakah Indonesia dalam situasi darurat militer?,Neutral
,
Mengapa aksi demonstrasi berujung perusakan dan penjarahan?,Negative
,
"Beras langka dan harganya naik, warga terpaksa mengurangi makan beras hingga berhenti berjualan – Apa penyebabnya?",Negative
,
Penjarahan rumah pejabat dan korban tewas bermunculan – Akankah berujung seperti krisis 1998?,Negative
,
Pengemudi ojol Affan Kurniawan disebut 'martir demokrasi' – Apakah aksi massa bakal membesar?,Neutral
,
"Demo DPR: Kendaraan polisi melindas pengemudi ojol hingga tewas, Istana minta maaf dan tujuh polisi diperiksa",Negative
,
"Video,
Dana reses anggota DPR Rp2,5 miliar per tahun, untuk apa?
, Durasi 3,12",Negative
,
Dari naik pangkat sampai dimakamkan di taman makam pahlawan menjadi hak penerima tanda kehormatan – Mengapa sejumlah nama menuai polemik?,Neutral
,
"Bupati Pati, Sudewo penuhi pemeriksaan KPK di tengah seruan warga agar dirinya ditangkap – 'Kami ingin punya pemimpin yang bersih'",Negative
,
"Anggota DPR mendapat dana reses Rp2,5 miliar tiap tahun, untuk apa?",Neutral
,
"Wabah campak di Sumenep renggut nyawa 17 anak, cakupan imunisasi rendah karena hoaks 'vaksin haram'?",Negative
,
Petani Bali pakai drone untuk bertani di sawah – 'Lebih efisien',Positive
,
Pelaku usaha hingga ojol merugi akibat gangguan internet di Merauke,Negative
,
"Kasus kematian diplomat Kemlu, keluarga ungkap temuan baru – Apakah penyelidikan bisa dilanjutkan?",Negative
,
Anggaran pendidikan terbesar sepanjang sejarah tapi hampir setengahnya untuk MBG dikoreksi – 'Guru seakan-akan dibantu',Neutral
,
"Immanuel Ebenezer dipecat setelah jadi tersangka kasus pemerasan pengurusan sertifikat K3, diduga menerima uang Rp3 miliar – Apa perannya?",Negative
,
Rangkaian gempa Bekasi dipicu 'West Java Back-arc Thrust' – Seberapa besar potensi gempa yang bisa dilepaskan?,Negative
,
"Udang beku dari Indonesia terpapar zat radioaktif, dari mana kontaminasi muncul?",Negative
,
"'Pemerintah pusat lepas tanggung jawab, pemda terjepit' – Mengapa gerakan warga disebut satu-satunya cara batalkan kenaikan pajak?",Neutral
,
"Video,
Gaji dan tunjangan anggota DPR lebih dari Rp100 juta, untuk apa saja?
, Durasi 2,41",Negative
,
"Tiga orang tewas akibat kebakaran sumur minyak di Blora, Bahlil diminta revisi aturan perizinan",Negative
,
"Ilmuwan Indonesia di jantung AI – Perjalanan dari Bandung ke Oxford, hingga markas DeepMind",Positive
,
Gaji dan tunjangan anggota DPR lebih Rp100 juta per bulan distop setelah gelombang demonstrasi – 'Tidak patut saat masyarakat kesulitan ekonomi',Negative
,
Setya Novanto bebas bersyarat – 'Kemunduran agenda pemberantasan korupsi',Negative
,
'Konflik berulang membuat masyarakat Aceh trauma' – Mengapa Indonesia harus belajar dari penyelesaian damai konflik Aceh?,Negative
,
HUT RI ke-80: Potret perayaan kemerdekaan dan pengibaran bendera Merah Putih di seluruh negeri,Neutral
,
"Samin, Kendeng, hingga golput besar-besaran – Mengapa 'gerakan rakyat' di Pati sangat masif?",Neutral
,
"Pidato RAPBN Prabowo bahas MBG, pengangguran, dan nasib IKN — Apa kata ahli ekonomi?",Neutral
,
Pembantaian Nanjing pada Perang Dunia II masih hantui hubungan China-Jepang,Neutral
,
"Pajak Bumi dan Bangunan naik drastis, aksi protes merembet ke sejumlah daerah",Negative
,
"Video,
Sejarah kelam 'ianfu', budak seks militer Jepang di Indonesia yang terlupakan
, Durasi 4,14",Neutral
,
"'Saya mensyukuri perdamaian, tapi kemakmuran kurang' – Cerita eks tentara GAM dan masalah kesejahteraan di Aceh",Neutral
,
Dugaan korupsi kuota haji era Yaqut Cholil Qoumas – Mengapa anggaran perjalanan ke tanah suci berulang kali dimanipulasi?,Negative
,
Nasib budak seks tentara Jepang pada Perang Dunia II – Hidup sebatang kara dalam lara di usia senja,Neutral
,
Kematian Prada Lucky – 'Budaya kekerasan di internal TNI dan impunitas picu penganiayaan terus berulang',Negative
,
Kapan dan di mana publik Indonesia bisa menyaksikan hujan meteor Perseid?,Neutral
,
BPS dilaporkan ke PBB – Apa dampak yang ditanggung warga jika data pemerintah tak sesuai realitas?,Neutral
,
Kemensos beli 15.000 laptop untuk Sekolah Rakyat – 'Pengadaan paling empuk bagi praktik korupsi',Neutral
,
"Diperdaya, diculik, dan melayani belasan orang tiap hari – Kisah 'ianfu', budak seks militer Jepang dalam Perang Dunia II",Negative
,
"Pendakian Gunung Rinjani kembali dibuka, apa saja perbaikan yang dilakukan?",Neutral
,
Anggota TNI bunuh tiga polisi dan terlibat judi sabung ayam di Lampung divonis hukuman mati,Negative
,
"Polda DIY tangkap 'orang yang rugikan' situs judi online, tapi mengapa tak menjerat bandarnya?",Negative
,
Pemerintah hendak tampung 2.000 warga Gaza di Pulau Galang – Apakah Indonesia bantu Israel mengosongkan Gaza?,Neutral
,
"Video,
Siapa penghuni Pulau Sulawesi satu juta tahun lalu?
, Durasi 4,28",Neutral
,
"Polisi yang menembak Gamma, pelajar di Semarang, divonis penjara 15 tahun",Negative
,
"Bupati Pati batalkan PBB 250%, warga tetap menuntut dia lengser",Positive
,
Fatwa haram peternakan babi di Jepara – Bagaimana gesekan agama dan bisnis yang terjadi?,Neutral
,
Mengapa bermain layang-layang di dekat bandara berbahaya bagi penerbangan?,Neutral
,
"Prabowo siapkan Pulau Galang untuk pengobatan 2.000 warga Gaza, bagaimana sejarah Pulau Galang?",Neutral
,
Wacana pemblokiran Roblox – Adakah cara lain yang lebih jitu untuk cegah dampak buruk pada anak?,Positive
,
"Video,
Cerita satu-satunya dokter ahli gigitan ular berbisa di Indonesia
, Durasi 4,46",Neutral
,
"Video,
Pekerja tolak Tapera: 'Tapera ini cuma jadi beban finansial'
, Durasi 2,25",Neutral
,
Bagaimana aturan royalti di kafe dan ke mana uang royalti selama ini mengalir?,Neutral
,
"'Anak muda Papua sulit dapat pekerjaan, bahkan jika lulus dari luar negeri' – Pencoblosan pilkada ulang di Papua, bisakah beri harapan untuk warga?",Negative
,
Proyek ratusan vila di Pulau Padar – 'Warga sakit hati karena peminggiran bertahun-tahun',Negative
,
Karhutla kembali terjadi di hutan yang ditempati perusahaan – Apakah pemerintah serius menanganinya?,Negative
,
"Prabowo beli 48 pesawat tempur Turki seharga ratusan triliun saat APBN defisit, dari mana uangnya?",Neutral
,
Pria divonis mati dalam kasus pembunuhan dan pemerkosaan penjual gorengan di Sumbar,Negative
,
"Syok, kacau, dan kemenangan hampa – Begini rasanya buat kesepakatan tarif dengan Trump",Neutral
,
Seruan mengibarkan bendera One Piece – Kenapa budaya pop kerap 'dipinjam' sebagai simbol protes?,Neutral
,
Tom Lembong dan Hasto Kristiyanto bebas – Apa dampaknya bagi pemberantasan korupsi?,Neutral
,
Apakah kita harus mulai meninggalkan kebiasaan makan nasi?,Neutral
,
Pemerintah bakal hapus beras medium dan premium – Apa saja dampak ke masyarakat?,Neutral
,
Ratusan guru Sekolah Rakyat mundur – Bagaimana nasib para murid?,Negative
,
"PPATK buka 28 juta 'rekening menganggur' yang sempat mereka blokir, kebijakan terbukti bermasalah sejak awal?",Positive
,
"Enam terduga anggota sindikat penjualan bayi ke Singapura ditangkap di Kalimantan Barat, apa temuan polisi?",Negative
,
"Angka kemiskinan turun, ratusan ribu orang terancam tak menerima bansos?",Positive
,
"Gempa magnitudo 8,7 di Rusia memicu potensi tsunami – Bagaimana tsunami bisa terjadi?",Negative
,
Warga Sumsel banding vonis PN Palembang yang tidak menerima gugatan karhutla,Negative
,
"Kematian diplomat Kemlu – 'Tak ada keterlibatan orang lain', polisi klaim temukan persoalan kesehatan mental",Negative
,
Kasus perusakan rumah doa dan nasib pelajar agama minoritas di Indonesia,Negative
,
Kesaksian perempuan Indonesia jadi korban kekerasan seksual di pusat judi online Kamboja,Negative
,
Mengapa kita harus peduli RUU KUHAP?,Neutral
,
"Kasus perusakan rumah doa umat Kristen di Padang, dua anak luka dan sembilan orang ditahan",Negative
,
Di balik film 'Sore: Istri dari Masa Depan' – Ketika dalam duka perempuan masih disalahpahami,Neutral
,
"Foto diunggah Pemprov Jabar, aktivis demokrasi jadi sasaran serangan digital – 'Ketika menyangkut tubuh saya, serangan digitalnya brutal luar biasa'",Neutral
,
"Keracunan massal MBG di NTT – 'Perut seperti tertusuk, saya trauma'",Negative
,
"Angka kemiskinan turun tapi jumlah penduduk miskin di perkotaan meningkat, apa yang terjadi?",Negative
,
"Hasto Kristiyanto divonis 3,5 tahun penjara terkait kasus suap Harun Masiku",Negative
,
"Kondisi warga Puncak, Papua, 'semakin buruk' akibat konflik bersenjata – Ribuan mengungsi, beberapa tewas karena sakit dan diduga ditembak",Negative
,
"Nasib para pekerja tekstil di Asia akibat kebijakan Trump – 'Hasilkan profit untuk perusahaan AS, kini anak-anak mereka terancam kelaparan'",Negative
,
BEM SI dituding diintervensi pemerintah – Bagaimana pejabat dan kekuatan politik selama ini pengaruhi organisasi mahasiswa?,Neutral
,
Konsep keadilan restoratif di RUU KUHAP dikritik salah kaprah – 'Bakal ciptakan rekayasa kasus dan perempuan korban kekerasan makin terpinggirkan',Neutral
,
"Koperasi Merah Putih diresmikan Prabowo – Potensi korupsi dan kebocoran anggarannya diperkirakan triliunan rupiah, bisakah dicegah?",Neutral
,
Kisah satu-satunya dokter ahli gigitan ular berbisa di Indonesia – Bagaimana menangani gigitan ular berbisa?,Neutral
,
"Potret kebijakan publik pemerintahan Prabowo-Gibran – Viral dulu, cabut kemudian",Negative
,
"Rangkap jabatan menteri – 'Kalau menteri saja dilarang, apalagi wakil menteri'",Neutral
,
WNI yang dipenjara di Myanmar karena bertemu kelompok bersenjata diberi amnesti dan dideportasi – Mengapa ada ribuan 'milisi pemberontak' di Myanmar?,Neutral
,
Polisi tangkap dalang sindikat penjualan bayi berkedok adopsi ke Singapura – Seperti apa modus operandinya?,Negative
,
"Warga Gede Pangrango dan Poco Leok menolak proyek geotermal – 'Katanya energi bersih, tapi tanah diperoleh dengan cara kotor'",Negative
,
"Tom Lembong divonis 4,5 tahun penjara – Mengapa kasus ini menuai kontroversi, dan bagaimana kronologinya?",Negative
,
Bermain lompat karet hingga gobak sodor di GBK – Permainan tradisional jadi ajang nostalgia sekaligus soroti kebutuhan ruang terbuka hijau,Positive
,
"Para pengusaha bersiap hadapi dampak tarif AS 19%, ekonom ingatkan ancaman gelombang PHK",Negative
,
"Pendaki asal Swiss yang terperosok di Rinjani dapat dievakuasi dalam hitungan jam, bagaimana bisa?",Neutral
,
"'Banyak pasien datang untuk sembuh, tapi justru meninggal dunia' – Dugaan malpraktik dan lambatnya pelayanan rumah sakit di Papua",Negative
,
"Kontroversi pelibatan TNI-Polri dalam MPLS di Jabar – 'Tujuannya biar anak nyaman di sekolah, kok malah undang polisi dan tentara?'",Neutral
,
Impor produk Indonesia dikenai tarif 19% oleh AS – 'Posisi Indonesia justru lemah',Neutral
,
"DPR setuju tambah anggaran Kementerian Transmigrasi hingga Rp1,7 triliun – Mengapa transmigrasi digencarkan?",Neutral
,
"'UMKM lokal pada mati, tapi F&B China malah ekspansi' – Ribuan gerai F&B China banjiri Indonesia, apa yang terjadi dan bagaimana dampaknya?",Negative
,
Mengapa proyek wisata glamping-seaplane di Gunung Rinjani mendapat penolakan?,Neutral
,
RUU KUHAP – Pasal-pasal dinilai bermasalah dan 1.676 DIM selesai dibahas dalam dua hari,Neutral
,
"Sekolah Rakyat dimulai 14 Juli – 'Sekolah untuk bangun peradaban, tapi membuatnya gegabah dan minim kajian'",Neutral
,
Jenazah Juliana Marins diautopsi lagi di Brasil – Apa yang sejauh ini diketahui?,Neutral
,
Cerita bocah di balik tarian viral balap pacu jalur – 'Gerakan itu tercipta secara spontan',Neutral
,
Monumen di atas reruntuhan 'rumah penyiksaan' era konflik bersenjata di Aceh diresmikan – 'Upaya menghalangi proses hukum yang sempurna',Neutral
,
"Siapa Riza Chalid, tersangka baru dalam kasus dugaan korupsi BBM Pertamina?",Negative
,
Wawancara Ole Romeny – Mimpi membawa Indonesia ke Piala Dunia hingga nasi goreng favorit buatan sang nenek,Neutral
,
"Kontroversi rekening judi online, apakah satgas pemberantasan bentukan pemerintah efektif?",Negative
,
Mengapa permintaan tambahan anggaran Polri menuai polemik?,Neutral
,
"Fatwa haram sound horeg, mengapa 'kesenian lokal' ini dianggap mengganggu warga?",Neutral
,
Trump pasang tarif 32% untuk Indonesia di tengah kekosongan dubes di AS – 'Kegagalan diplomasi Indonesia',Negative
,
Tim SAR temukan dua jenazah diduga korban KMP Tunu Pratama Jaya,Negative
,
Gibran ditunjuk untuk selesaikan masalah di Papua – Apa yang Gibran perlu lakukan?,Neutral
,
Kasus-kasus WNI di Jepang jadi sorotan – Ditangkap karena merampok hingga pasang spanduk perguruan silat,Neutral
,
"Kesaksian staf KBRI soal perilaku pejabat pemerintah dan keluarganya di luar negeri – 'Bukan tugas negara, tapi minta fasilitas'",Negative
,
"Kapal tenggelam berulang kali terjadi di Indonesia, dua masalah kerap muncul",Negative
,
"Cerita penyintas kapal tenggelam di Selat Bali – 'Saya rangkul bapak saat tenggelam, tapi bapak sudah tak ada'",Negative
,
Kisah sekelompok orang bisa punya rumah di Menteng Jakarta seharga di bawah Rp1 miliar,Neutral
,
Mahasiswa UGM meninggal saat KKN di Maluku Tenggara - Masih perlukah 'program pengabdian' ini diadakan?,Negative
,
Direktur Rumah Sakit Indonesia di Gaza tewas dalam serangan Israel – 'Rudal mengincar kamarnya',Negative
,
Mengapa orang Madura dilekatkan dengan besi tua dan pencurian besi?,Neutral
,
Merince Kogoya dicoret dari Miss Indonesia karena bendera Israel – Bagaimana sejarah dan akar pandangan orang asli Papua tentang Israel?,Neutral
,
"Polri luncurkan robot polisi dan robot anjing, apa gunanya?",Neutral
,
Kasus pembubaran paksa retret di Cidahu Sukabumi – Bagaimana kronologinya?,Neutral
,
Kabut di sekitar Jakarta – Anomali cuaca atau polusi udara?,Neutral
,
Video serangan drone beredar di media sosial – Benarkah terjadi di Papua dan siapa pelakunya?,Negative
,
Apa yang ingin dicapai pemerintah dengan memajaki penjual di lapak online?,Negative
,
'Bertaruh pada Api' – Warga kampung di Kota Bandung melawan penggusuran,Negative
,
Ibu rumah tangga makin banyak terlibat sindikat narkoba – Motif ekonomi hingga 'korban perasaan',Negative
,
Kejaksaan Agung kerja sama soal penyadapan dengan operator telekomunikasi – Apa masalahnya?,Neutral
,
"Militer cari sosok di balik petisi tolak RUU TNI, tuduh gerakan sipil dibayar",Neutral
,
Gunung Rinjani: Siapa saja yang bertanggung jawab atas keselamatan para pendaki?,Neutral
,
Kesaksian warga Irlandia yang hampir tewas saat mendaki Gunung Rinjani,Neutral
,
"Posisi Dubes Indonesia di AS dan PBB tak kunjung terisi sejak 2023, apa akibatnya?",Negative
,
Polemik pelayanan BPJS Kesehatan - 'Kami kaget kok disuruh pulang?',Negative
,
Mengapa perlu waktu berhari-hari mengevakuasi WNA Brasil di Gunung Rinjani?,Neutral
,
"Siapa Sumitro Djojohadikusumo, ayah Presiden Prabowo Subianto?",Positive
,
"Ribuan siswa keracunan Makan Bergizi Gratis, orang tua trauma dan larang anaknya konsumsi MBG – 'Bukannya meringankan malah mau membunuh'",Negative
,
"Nasib pulau kecil: Setelah ditambang, kini diperjualbelikan - 'Kami dibiarkan bertahan sendirian'",Negative
,
Puluhan WNI yang dievakuasi dari Iran dipulangkan secara bertahap ke Indonesia,Negative
,
Apa yang memicu tren kenaikan penyakit sifilis di Indonesia dan dunia?,Negative
,
Teror pesawat pengangkut jemaah haji – Bagaimana kronologi dan apa motifnya?,Negative
,
Mengapa Gubernur Jakarta membuka taman selama 24 jam?,Neutral
,
"Kasus pembunuhan dan mutilasi di Padang Pariaman, 'femisida' terhadap tiga perempuan – 'Saya berharap jenazah anak saya bisa segera dikebumikan'",Negative
,
"Fenomena gagal bayar pinjol – 'Sudah lelah gali lubang, tutup lubang'",Negative
,
"Video,
Adakah hunian terjangkau untuk masyarakat urban di tengah kota?
, Durasi 8,50",Neutral
,
"Menu MBG bahan mentah jadi sorotan, pengawasan dipertanyakan – 'BGN seharusnya menjalankan fungsi kontrol'",Negative
,
"'Lihat langsung hutan, hak dan kehidupan kami direbut paksa' – Masyarakat adat Merauke minta pelapor khusus PBB datang ke Papua",Negative
,
'Rasanya ngeri sekali' – Gunung Lewotobi Laki-laki di NTT meletus,Negative
,
"Garis kemiskinan versi Bank Dunia dan pemerintah, mana yang lebih realistis?",Neutral
,
"Sengketa empat pulau Sumatra, pemerintah putuskan masuk wilayah Aceh",Neutral
,
"'Dokter bilang saya kena kanker mulut, saya langsung takut' – Tradisi mengunyah pinang di Papua, dilema antara budaya dan risiko kesehatan",Neutral
,
"Calon mahasiswa baru keluhkan UKT – 'Kalau nilai UKT besar, saya lepas kuliah'",Negative
,
"Tanggul laut raksasa di utara Jawa 'solusi palsu' dan 'bawa masalah baru', kata aktivis lingkungan",Neutral
,
Belasan santri diduga jadi korban kekerasan seksual pimpinan pesantren di Sumenep – Doktrin agama membuat korban tak berdaya,Negative
,
"Fadli Zon klaim pemerkosaan dalam Kerusuhan Mei 98 'rumor' dan 'tak ada bukti', aktivis perempuan sebut 'manipulasi dan pengaburan sejarah'",Negative
,
Laki-laki asli Papua di Nduga tewas dengan tubuh terpotong – Bagaimana kasusnya?,Negative
,
"Video,
Nasib puluhan pulau kecil selain Raja Ampat yang terancam tambang
, Durasi 4,32",Negative
,
"Kisah perempuan Papua di balik peristiwa viral Save Raja Ampat – 'Biarpun ditangkap, saya tetap berjuang'",Negative
,
Izin empat perusahaan di Raja Ampat dicabut – Apa untung-rugi menambang di pulau-pulau kecil?,Positive
,
Perusahaan terbatas pertama milik masyarakat adat didirikan di Papua – 'Kami harus mandiri dengan aset dan potensi kami',Positive
,
"Jam tangan Rolex dari Presiden Prabowo untuk timnas sepak bola, wujud politisasi dan kesenjangan dengan cabang olahraga lain?",Negative
,
Lima WNI ditahan polisi Malaysia terkait kasus dugaan pembunuhan – Apa yang terjadi?,Negative
,
Pemerintah dianggap glorifikasi Umar Patek bikin bisnis kopi – 'Seratusan eks napi terorisme ulangi kejahatannya',Negative
,
Apakah Koperasi Merah Putih yang dibutuhkan para petani? – 'Kami trauma dengan model-model seperti ini',Neutral
,
"Video,
Kisah remaja laki-laki di Karawang yang sempat menjadi perempuan karena hipospadia
, Durasi 3,56",Neutral
,
Perubahan sertifikat tanah jadi elektronik dinilai 'sangat rawan' - Bagaimana jaminan dari pemerintah?,Negative
,
Asal-usul aroma khas kambing dan cara mengolah daging kambing agar tidak 'bau prengus',Positive
,
Di balik retorika 'waspadai kekuatan asing' ala Presiden Prabowo Subianto – 'Prabowo adu domba warga dengan warga',Negative
,
"TNI AD merekrut puluhan ribu prajurit baru, apa dampaknya terhadap anggaran hingga politik?",Neutral
,
Tambang yang tewaskan 21 orang di Cirebon kerap longsor – 'Ini kelalaian laten',Negative
,
"Jam malam bagi pelajar di Jawa Barat, apa pro dan kontranya?",Positive
,
"Jutaan pekerja hotel terancam PHK, imbas efisiensi belanja pemerintah - 'Sekarang saya kerja serabutan, kalau ada panggilan bersih-bersih rumah'",Negative
,
Nestapa 'anak oleh-oleh' pekerja migran: Jadi korban pernikahan anak hingga pelecehan seksual – 'Kami terus terjebak di lingkaran setan',Negative
,
Dua orang ditetapkan tersangka kasus longsor tambang di Cirebon – 'Ini adalah kesalahan dalam metode penambangan',Negative
,
"Kasus Covid meningkat di beberapa negara ASEAN, apakah penduduk Indonesia perlu khawatir?",Negative
,
"Sengkarut haji furada – Antara kewenangan Saudi, ladang penipuan, dan peran negara",Negative
,
"'Kalau dilatih tapi fasilitasnya tak ada, percuma juga' – Apakah tepat rencana pemerintah melatih dokter umum melakukan operasi caesar?",Neutral
,
Fosil manusia purba berusia 140.000 tahun ditemukan di Selat Madura – Bukti 'pertama' kehidupan dari benua yang tenggelam,Neutral
,
Kemnaker hapus batasan usia maksimal perekrutan pekerja – Apakah efektif hapus diskriminasi usia di dunia tenaga kerja?,Neutral
,
Gereja Katolik dan kisah orang-orang asli Papua – 'Mengapa kedukaan kami jarang dibicarakan di atas altar?',Neutral
,
"MK putuskan SD-SMP negeri dan swasta 'gratis', tapi mengapa sekolah swasta tertentu dibolehkan menarik iuran?",Neutral
,
"Trump perintahkan Kedutaan AS hentikan proses visa pelajar dan larang Universitas Harvard terima mahasiswa internasional, bagaimana nasib pelajar Indonesia?",Negative
,
"Video,
'Mereka pingsan, karena desak-desakan' – Puluhan ribu pengangguran bersaing di bursa kerja
, Durasi 3,56",Negative
,
Viral pernikahan anak di Lombok Tengah berujung laporan ke polisi – Apakah langkah hukum efektif menekan 'tradisi' perkawinan anak?,Negative
,
"15 mahasiswa Trisakti dipulangkan dari Polda Metro, tersisa satu orang – 'Bebaskan anak-anak kami dari segala tuduhan'",Negative
,
Agus penyandang disabilitas divonis 10 tahun penjara atas kasus pelecehan seksual di NTB,Negative
,
"Skandal kuliner non-halal di Solo – 'Kita enggak tahu kalau pakai minyak babi, kita sangat kecewa'",Negative
,
"Mahasiswa penggugat UU TNI diduga 'diintimidasi' anggota TNI – Mulai menelepon orang tua, hingga Babinsa datangi ketua RT",Negative
,
"Grup inses di Facebook terbongkar, Indonesia disebut 'pabrik konten pornografi anak'",Negative
,
Dari ukuran celana sampai 'stetoskop tidak ilmiah' – Apa saja pernyataan dan kebijakan kontroversial Menkes Budi Gunadi?,Neutral
,
Polemik lahan BMKG vs GRIB Jaya – Polisi tangkap 17 orang dan robohkan bangunan,Negative
,
"Djaka Budi Utama dilantik jadi Dirjen Bea Cukai, diberhentikan dari TNI",Neutral
,
"Laju kerusakan hutan tropis mencapai rekor tertinggi tahun lalu, bagaimana dengan Indonesia?",Negative
,
"Bos Sritex diduga selewengkan kredit bank, bagaimana nasib ribuan pekerja Sritex yang di-PHK?",Negative
,
"Kontak senjata terulang di Intan Jaya Papua, warga sipil jadi korban",Negative
,
"Mafia Berkeley, Ali Moertopo, hingga Opsus – Tiga hal yang perlu diketahui tentang Orde Baru dan sepak terjangnya",Neutral
,
"'Saya kecewa, kok enggak bisa ditolong' – Pasien DBD ditolak RS karena 'tidak gawat' dan tak ditanggung BPJS Kesehatan",Negative
,
Fakta-fakta perusakan makam di Bantul dan Yogyakarta – Bagaimana publik harus menyikapinya?,Neutral
,
Viral grup inses 'Fantasi Sedarah' di Facebook – Enam orang jadi tersangka kasus asusila dan pornografi,Negative
,
"Pengemudi ojol demo, padamkan aplikasi – Apa hasil audiensi dengan pemerintah?",Negative
,
"Lima masalah yang perlu diatasi Komdigi selain pembatasan gratis ongkos kirim – 'Data bocor, judi online merajalela'",Negative
,
'Bapak pembangunan' dan pelanggar HAM – Mengapa Soeharto dianggap tak layak jadi pahlawan nasional?,Neutral
,
'Rekening saya itu rekening ibu rumah tangga' – Mengapa penghentian sementara rekening publik oleh PPATK menuai polemik?,Negative
,
"Sejarah Dwifungsi ABRI: Panggilan sejarah, kelemahan pemimpin sipil, atau hasrat militer berkuasa?",Neutral
,
Pakistan klaim tembak jatuh pesawat Rafale milik India – Apakah Indonesia perlu was-was?,Neutral
,
Ketua Kadin Cilegon jadi tersangka buntut viral video minta jatah proyek Rp5 triliun tanpa tender – 'Calon investor mungkin akan memilih Vietnam ketimbang Indonesia',Negative
,
Eks marinir Indonesia berperang untuk Rusia – Antara motif ekonomi dan risiko keamanan nasional,Neutral
,
